epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1977.76,1.08343,0.56549,0.99914,0.94526,0.89818,0.94912,0.634,1.24344,0.61698,1.0441,0.000455875,0.000455875,0.000455875
43,2023.63,1.07539,0.56806,0.98768,0.93581,0.91677,0.94496,0.64013,1.20438,0.60619,1.03587,0.00045175,0.00045175,0.00045175
44,2073.34,1.06897,0.56634,0.9945,0.94502,0.91917,0.95256,0.63982,1.21817,0.61243,1.03215,0.000447625,0.000447625,0.000447625
45,2120.09,1.08172,0.56592,1.00063,0.92781,0.9205,0.94515,0.6468,1.21617,0.58635,1.03302,0.0004435,0.0004435,0.0004435
46,2171.05,1.05638,0.54864,0.98741,0.92793,0.91365,0.93991,0.64327,1.21357,0.58424,1.02959,0.000439375,0.000439375,0.000439375
47,2226.14,1.05231,0.54478,0.9843,0.92883,0.90381,0.94078,0.63843,1.21569,0.60652,1.03389,0.00043525,0.00043525,0.00043525
48,2282.93,1.04444,0.54309,0.98304,0.94061,0.90742,0.94501,0.65135,1.22267,0.60536,1.03346,0.000431125,0.000431125,0.000431125
49,2341.4,1.02857,0.53514,0.97642,0.95513,0.90215,0.94674,0.652,1.19611,0.57301,1.02171,0.000427,0.000427,0.000427
50,2394.8,1.04102,0.53753,0.98381,0.9611,0.89262,0.94961,0.65138,1.20727,0.59643,1.02365,0.000422875,0.000422875,0.000422875
51,2450.96,1.01793,0.53076,0.97203,0.94427,0.9013,0.94737,0.6451,1.19968,0.58988,1.02038,0.00041875,0.00041875,0.00041875
52,2502.12,1.00703,0.51545,0.97172,0.9447,0.90139,0.94746,0.65781,1.18409,0.58256,1.01832,0.000414625,0.000414625,0.000414625
53,2553.6,1.00769,0.52562,0.97999,0.93475,0.89554,0.94172,0.65175,1.18177,0.60329,1.02201,0.0004105,0.0004105,0.0004105
54,2603.83,1.00292,0.51423,0.96816,0.95537,0.89652,0.94939,0.65032,1.23631,0.60395,1.0357,0.000406375,0.000406375,0.000406375
55,2649.77,1.00551,0.51404,0.96357,0.94807,0.89147,0.94183,0.65122,1.19647,0.58224,1.01835,0.00040225,0.00040225,0.00040225
56,2695.33,1.02119,0.51561,0.97751,0.94853,0.90198,0.95281,0.66661,1.16502,0.5656,1.01397,0.000398125,0.000398125,0.000398125
57,2740.85,0.97753,0.48986,0.96112,0.92676,0.92427,0.94764,0.65689,1.18718,0.58214,1.02564,0.000394,0.000394,0.000394
58,2786.28,0.97362,0.4916,0.95409,0.93682,0.91935,0.95091,0.66221,1.18457,0.56292,1.02202,0.000389875,0.000389875,0.000389875
59,2831.78,0.97376,0.49985,0.95992,0.9414,0.91572,0.94792,0.67097,1.17014,0.55738,1.01093,0.00038575,0.00038575,0.00038575
60,2877.3,0.96265,0.49031,0.95261,0.94537,0.91532,0.94836,0.65588,1.19445,0.56936,1.02016,0.000381625,0.000381625,0.000381625
61,2922.75,0.96232,0.49818,0.95102,0.94625,0.92916,0.9547,0.66674,1.17271,0.56619,1.01794,0.0003775,0.0003775,0.0003775
62,2968.19,0.97874,0.49883,0.95857,0.94249,0.89961,0.94636,0.65952,1.17192,0.59766,1.01695,0.000373375,0.000373375,0.000373375
63,3013.54,0.96834,0.50494,0.96514,0.95847,0.88802,0.94571,0.65532,1.19889,0.57902,1.02347,0.00036925,0.00036925,0.00036925
64,3059.06,0.9787,0.49172,0.95455,0.92877,0.9272,0.95155,0.65251,1.18536,0.56206,1.02135,0.000365125,0.000365125,0.000365125
65,3104.45,0.96152,0.49003,0.94954,0.9538,0.91366,0.95121,0.66625,1.16929,0.55291,1.01376,0.000361,0.000361,0.000361
66,3150.08,0.93991,0.47221,0.95095,0.96458,0.90847,0.95816,0.67253,1.14885,0.54197,1.00633,0.000356875,0.000356875,0.000356875
67,3196.44,0.93038,0.47678,0.9439,0.95132,0.91867,0.95396,0.66885,1.17779,0.55282,1.01873,0.00035275,0.00035275,0.00035275
68,3242.12,0.94639,0.48003,0.94711,0.94715,0.90592,0.95283,0.66257,1.22287,0.57089,1.03129,0.000348625,0.000348625,0.000348625
69,3287.33,0.93045,0.47346,0.94198,0.94748,0.92044,0.96069,0.67696,1.1689,0.55031,1.02034,0.0003445,0.0003445,0.0003445
70,3332.69,0.92138,0.46841,0.93516,0.95168,0.9117,0.94894,0.66058,1.1738,0.55734,1.0187,0.000340375,0.000340375,0.000340375
71,3377.96,0.92858,0.4649,0.94288,0.95347,0.89959,0.95162,0.67062,1.18103,0.57666,1.01408,0.00033625,0.00033625,0.00033625
72,3423.19,0.91444,0.46612,0.9343,0.95789,0.9147,0.95894,0.68018,1.16486,0.55598,1.01018,0.000332125,0.000332125,0.000332125
73,3468.47,0.87763,0.4378,0.91923,0.954,0.92483,0.95756,0.68302,1.13942,0.53005,1.00572,0.000328,0.000328,0.000328
74,3513.94,0.9112,0.46173,0.93827,0.94083,0.93484,0.95777,0.67553,1.1583,0.53877,1.01147,0.000323875,0.000323875,0.000323875
75,3559.21,0.90299,0.45442,0.93151,0.95304,0.91713,0.95821,0.68054,1.16411,0.54421,1.01324,0.00031975,0.00031975,0.00031975
76,3604.41,0.88305,0.4458,0.92449,0.9476,0.93551,0.96317,0.67722,1.15572,0.52811,1.00854,0.000315625,0.000315625,0.000315625
77,3649.82,0.87743,0.43452,0.91583,0.93137,0.92068,0.95069,0.67906,1.14852,0.53843,1.0048,0.0003115,0.0003115,0.0003115
78,3695.03,0.87954,0.44263,0.92517,0.94732,0.92038,0.94882,0.6715,1.17523,0.54292,1.01557,0.000307375,0.000307375,0.000307375
79,3740.33,0.87394,0.43833,0.91782,0.95844,0.91491,0.95743,0.67134,1.16207,0.5363,1.01067,0.00030325,0.00030325,0.00030325
80,3785.57,0.87242,0.44033,0.91802,0.95039,0.92088,0.95673,0.67263,1.15509,0.53052,1.00643,0.000299125,0.000299125,0.000299125
81,3830.76,0.87397,0.43869,0.92212,0.95061,0.91306,0.95832,0.68203,1.13722,0.5528,1.00052,0.000295,0.000295,0.000295
82,3875.93,0.867,0.43512,0.9192,0.94331,0.93499,0.95874,0.67957,1.15305,0.53573,1.0087,0.000290875,0.000290875,0.000290875
83,3921.46,0.84971,0.42142,0.91671,0.95654,0.92361,0.95907,0.68193,1.13912,0.52976,1.0041,0.00028675,0.00028675,0.00028675
84,3966.76,0.85258,0.42378,0.91287,0.95614,0.92449,0.96056,0.67717,1.16305,0.54478,1.01084,0.000282625,0.000282625,0.000282625
85,4011.94,0.83903,0.4251,0.90382,0.96077,0.91809,0.96018,0.6872,1.13031,0.53224,1.00686,0.0002785,0.0002785,0.0002785
86,4057.26,0.83934,0.428,0.9186,0.95862,0.90782,0.962,0.68352,1.15767,0.53661,1.01175,0.000274375,0.000274375,0.000274375
87,4102.44,0.84866,0.42463,0.90498,0.97239,0.89927,0.96098,0.6864,1.15661,0.53381,1.01466,0.00027025,0.00027025,0.00027025
88,4147.63,0.83104,0.41199,0.89916,0.95688,0.91858,0.95989,0.68229,1.14541,0.53206,1.01635,0.000266125,0.000266125,0.000266125
89,4192.92,0.83798,0.4211,0.90858,0.9628,0.91024,0.95791,0.68357,1.15005,0.53105,1.01625,0.000262,0.000262,0.000262
90,4238.24,0.82714,0.42388,0.91465,0.97246,0.90362,0.95562,0.68832,1.11989,0.52683,1.00145,0.000257875,0.000257875,0.000257875
91,4283.6,0.84876,0.43636,0.91194,0.95164,0.92447,0.95681,0.67899,1.14328,0.52747,1.00834,0.00025375,0.00025375,0.00025375
92,4329.08,0.83433,0.42318,0.90482,0.95656,0.90695,0.95683,0.69254,1.13588,0.52731,1.00769,0.000249625,0.000249625,0.000249625
93,4374.45,0.80382,0.41017,0.89587,0.96335,0.90294,0.95584,0.68881,1.12859,0.52979,1.00588,0.0002455,0.0002455,0.0002455
94,4419.78,0.80263,0.40473,0.89323,0.95245,0.91171,0.95631,0.68814,1.13209,0.51675,1.00951,0.000241375,0.000241375,0.000241375
95,4465.16,0.79478,0.40084,0.89714,0.9612,0.92924,0.9597,0.68635,1.13399,0.51488,1.00576,0.00023725,0.00023725,0.00023725
96,4510.48,0.79232,0.39977,0.89046,0.94242,0.92545,0.95942,0.69573,1.12088,0.51949,1.00363,0.000233125,0.000233125,0.000233125
97,4555.83,0.77834,0.39364,0.88937,0.94707,0.91513,0.95273,0.68738,1.13219,0.53421,1.00664,0.000229,0.000229,0.000229
98,4601.1,0.76311,0.39241,0.88995,0.93806,0.93516,0.95905,0.69621,1.12155,0.51305,1.00214,0.000224875,0.000224875,0.000224875
99,4646.48,0.78799,0.40847,0.89463,0.96053,0.92566,0.95607,0.68692,1.11822,0.51057,1.00668,0.00022075,0.00022075,0.00022075
100,4691.83,0.78052,0.39577,0.89035,0.95137,0.92407,0.95927,0.69017,1.11482,0.51681,1.00499,0.000216625,0.000216625,0.000216625
101,4737.15,0.78876,0.39413,0.89635,0.95762,0.94071,0.96458,0.69921,1.09649,0.50082,0.99994,0.0002125,0.0002125,0.0002125
102,4782.52,0.76588,0.38862,0.88218,0.95647,0.9266,0.95282,0.69779,1.09853,0.5104,1.00307,0.000208375,0.000208375,0.000208375
103,4827.83,0.77898,0.39979,0.88952,0.95155,0.92295,0.95529,0.69434,1.12141,0.51381,1.01215,0.00020425,0.00020425,0.00020425
104,4873.27,0.74674,0.38016,0.87916,0.94553,0.93651,0.9583,0.69611,1.10967,0.51307,1.00748,0.000200125,0.000200125,0.000200125
105,4918.64,0.76177,0.40037,0.89643,0.96201,0.92787,0.96242,0.69872,1.10918,0.50125,1.00191,0.000196,0.000196,0.000196
106,4963.94,0.74723,0.37783,0.88179,0.95219,0.94092,0.96551,0.71068,1.09081,0.49097,0.99752,0.000191875,0.000191875,0.000191875
107,5009.28,0.73959,0.37666,0.87882,0.96371,0.92847,0.95763,0.69761,1.09563,0.50214,0.99964,0.00018775,0.00018775,0.00018775
108,5054.55,0.73984,0.37727,0.87567,0.94814,0.92327,0.9486,0.69672,1.08909,0.51017,0.99675,0.000183625,0.000183625,0.000183625
109,5099.95,0.75197,0.38163,0.88204,0.96128,0.9286,0.95288,0.69963,1.09034,0.52021,0.99836,0.0001795,0.0001795,0.0001795
110,5145.3,0.73506,0.37489,0.87262,0.9601,0.927,0.94923,0.69685,1.10366,0.51589,1.00883,0.000175375,0.000175375,0.000175375
111,5190.61,0.71752,0.36573,0.87682,0.95124,0.927,0.95101,0.69523,1.09911,0.50329,1.00745,0.00017125,0.00017125,0.00017125
112,5235.92,0.74521,0.3831,0.88468,0.9612,0.91587,0.95274,0.69508,1.12469,0.5101,1.01397,0.000167125,0.000167125,0.000167125
113,5281.32,0.72402,0.36769,0.87465,0.95534,0.9266,0.95438,0.69199,1.13477,0.51906,1.01949,0.000163,0.000163,0.000163
114,5326.57,0.72608,0.3742,0.87157,0.96513,0.92333,0.95492,0.70102,1.11298,0.51083,1.0101,0.000158875,0.000158875,0.000158875
115,5371.94,0.71085,0.36051,0.86864,0.95434,0.92037,0.9533,0.69974,1.1038,0.51039,1.00631,0.00015475,0.00015475,0.00015475
116,5417.25,0.70828,0.36245,0.86955,0.9608,0.91917,0.95865,0.70387,1.11081,0.50178,1.00824,0.000150625,0.000150625,0.000150625
117,5462.54,0.69187,0.34778,0.86875,0.95292,0.92133,0.95595,0.70386,1.09174,0.50428,1.00128,0.0001465,0.0001465,0.0001465
118,5507.81,0.70229,0.36179,0.87236,0.94381,0.93451,0.96082,0.70978,1.0894,0.49169,0.99955,0.000142375,0.000142375,0.000142375
119,5553.25,0.69282,0.35061,0.86692,0.93942,0.93567,0.95776,0.70577,1.0941,0.498,1.00348,0.00013825,0.00013825,0.00013825
120,5598.49,0.68349,0.35329,0.86802,0.95951,0.93177,0.95728,0.70561,1.09781,0.49877,1.00536,0.000134125,0.000134125,0.000134125
121,5643.96,0.67737,0.34673,0.86136,0.96161,0.92145,0.95176,0.70099,1.08985,0.50278,1.00127,0.00013,0.00013,0.00013
122,5688.64,0.67652,0.34883,0.8642,0.96302,0.91993,0.94975,0.70108,1.09998,0.51124,1.00502,0.000125875,0.000125875,0.000125875
123,5733.34,0.67709,0.34643,0.86095,0.96134,0.9319,0.95812,0.70194,1.10191,0.49499,1.00549,0.00012175,0.00012175,0.00012175
124,5778.13,0.66355,0.34248,0.85308,0.95611,0.93413,0.96012,0.70459,1.08889,0.50172,1.00397,0.000117625,0.000117625,0.000117625
125,5822.81,0.66356,0.34565,0.85718,0.95105,0.92388,0.9629,0.70632,1.09411,0.4963,1.00637,0.0001135,0.0001135,0.0001135
126,5867.51,0.66484,0.34824,0.85514,0.95467,0.92357,0.95754,0.70267,1.08019,0.49014,0.99954,0.000109375,0.000109375,0.000109375
127,5912.18,0.65957,0.34172,0.85887,0.94695,0.92719,0.95775,0.70963,1.08879,0.4988,1.00251,0.00010525,0.00010525,0.00010525
128,5956.93,0.65429,0.34048,0.8554,0.95493,0.92445,0.95797,0.71069,1.08592,0.48888,1.00268,0.000101125,0.000101125,0.000101125
129,6001.75,0.6595,0.34445,0.85634,0.95136,0.92373,0.95254,0.7134,1.08544,0.49795,1.00234,9.7e-05,9.7e-05,9.7e-05
130,6046.54,0.66,0.34284,0.85622,0.95943,0.91327,0.95724,0.71471,1.08314,0.49441,1.00144,9.2875e-05,9.2875e-05,9.2875e-05
131,6091.3,0.63555,0.32917,0.85358,0.94897,0.92554,0.95935,0.70887,1.08336,0.49497,0.99766,8.875e-05,8.875e-05,8.875e-05
132,6135.96,0.65281,0.34302,0.85627,0.94651,0.92842,0.95516,0.71643,1.07317,0.49333,0.99836,8.4625e-05,8.4625e-05,8.4625e-05
133,6180.8,0.64647,0.33834,0.85886,0.94752,0.92896,0.95709,0.71105,1.07315,0.48243,0.99835,8.05e-05,8.05e-05,8.05e-05
134,6225.54,0.63758,0.33095,0.85129,0.95416,0.91943,0.95419,0.7088,1.07314,0.49305,1.0005,7.6375e-05,7.6375e-05,7.6375e-05
135,6270.2,0.63579,0.33522,0.8537,0.95177,0.92027,0.95171,0.70783,1.08049,0.49206,1.00168,7.225e-05,7.225e-05,7.225e-05
136,6314.91,0.6255,0.33167,0.8517,0.95369,0.9298,0.95342,0.70854,1.07457,0.48918,0.9986,6.8125e-05,6.8125e-05,6.8125e-05
137,6359.56,0.62838,0.33477,0.8491,0.96449,0.90929,0.9544,0.70802,1.08582,0.49634,1.00349,6.4e-05,6.4e-05,6.4e-05
138,6404.23,0.63613,0.33951,0.8528,0.96011,0.91706,0.95527,0.71054,1.07641,0.49428,1.00087,5.9875e-05,5.9875e-05,5.9875e-05
139,6449.01,0.62974,0.32907,0.84944,0.9478,0.92624,0.9558,0.71534,1.07225,0.49454,0.99942,5.575e-05,5.575e-05,5.575e-05
140,6493.68,0.62389,0.32447,0.84671,0.93033,0.94009,0.9559,0.71254,1.07182,0.49253,0.99914,5.1625e-05,5.1625e-05,5.1625e-05
141,6554.26,0.55633,0.28502,0.82539,0.96566,0.91133,0.95423,0.71361,1.06895,0.4937,1.00085,4.75e-05,4.75e-05,4.75e-05
142,6598.74,0.54695,0.2793,0.82952,0.95118,0.92486,0.95425,0.71575,1.06749,0.48958,1.00053,4.3375e-05,4.3375e-05,4.3375e-05
143,6643.24,0.55372,0.2863,0.82981,0.95706,0.91849,0.95335,0.71773,1.06855,0.49213,1.00203,3.925e-05,3.925e-05,3.925e-05
144,6687.9,0.54216,0.27784,0.82909,0.95763,0.92177,0.95468,0.72044,1.06339,0.48598,1.00025,3.5125e-05,3.5125e-05,3.5125e-05
145,6732.45,0.54445,0.27992,0.83451,0.95103,0.92323,0.95534,0.72007,1.07138,0.48494,1.00143,3.1e-05,3.1e-05,3.1e-05
146,6776.99,0.54404,0.27939,0.82744,0.95239,0.92068,0.95556,0.72146,1.07143,0.4918,1.0008,2.6875e-05,2.6875e-05,2.6875e-05
147,6821.54,0.53121,0.27288,0.82305,0.95551,0.91834,0.95409,0.71994,1.06804,0.48904,1.00132,2.275e-05,2.275e-05,2.275e-05
148,6866.15,0.52624,0.27289,0.82236,0.94894,0.92445,0.95366,0.7209,1.06823,0.48952,1.00167,1.8625e-05,1.8625e-05,1.8625e-05
149,6910.61,0.52679,0.27279,0.82584,0.95601,0.92221,0.95391,0.71903,1.07305,0.48938,1.00215,1.45e-05,1.45e-05,1.45e-05
150,6955.23,0.52329,0.27126,0.82185,0.95606,0.92203,0.95385,0.71922,1.07106,0.48877,1.00263,1.0375e-05,1.0375e-05,1.0375e-05
